Name,NHL.com Player ID,Skater/Goalie,Birthdate
Alexander Kerch,8459481,S,
Alexander Kerfoot,8477021,S,
Alexander Khavanov,8468105,S,
Alexander Korolyuk,8460629,S,
Alexander Mogilny,8449654,S,
Alexander Nikulin,8471334,S,
Alexander Pechurskiy,8474708,G,
Alexander Perezhogin,8469478,S,
Alexander Petrovic,8475755,S,
Alexander Radulov,8471228,S,
Alexander Romanov,8481014,S,
Alexander Salak,8475130,G,
Alexander Selivanov,8460628,S,
Alexander Semak,8457983,S,
Alexander Semin,8470120,S,
Alexander Steen,8470257,S,
Alexander Sulzer,8470685,S,
Alexander Svitov,8469456,S,
Alexander True,8480384,S,
Alexander Urbom,8475248,S,
Alexander Vasilevskii,8459686,S,
Alexander Vasyunov,8473605,S,
Alexander Volchkov,8464958,S,
Alexander Volkov,8480186,S,
Alexander Wennberg,8477505,S,
Alexander Yelesin,8481630,S,
Alexandre Boikov,8464783,S,
Alexandre Bolduc,8470719,S,
Alexandre Burrows,8470358,S,
Alexandre Carrier,8478851,S,
Alexandre Daigle,8459423,S,
Alexandre Fortin,8479657,S,
Alexandre Giroux,8468086,S,
Alexandre Grenier,8476414,S,
Alexandre Kharitonov,8468561,S,
Alexandre Picard,8470678,S,1985-07-05
Alexandre Picard,8471221,S,1985-10-09
Alexandre Texier,8480074,S,
Alexei Emelin,8471296,S,
Alexei Gusarov,8447363,S,
Alexei Kaigorodov,8470267,S,
Alexei Kasatonov,8448416,S,
Alexei Kudashov,8458616,S,
Alexei Melnichuk,8482246,G,
Alexei Mikhnov,8468497,S,
Alexei Ponikarovsky,8467412,S,
Alexei Semenov,8467909,S,
Alexei Smirnov,8468492,S,
Alexei Tezikov,8465071,S,
Alexei Vasiliev,8462140,S,
Alexei Yashin,8458939,S,
Alexei Yegorov,8460558,S,
Alexei Zhamnov,8458487,S,
Alexei Zhitnik,8458595,S,
Alexey Marchenko,8476289,S,
Alexey Toropchenko,8480281,S,
Alexis Lafrenière,8482109,S,
Alf Pike,8448151,S,
Alf Skinner,8449049,S,
Alfie Michaud,8467866,G,
Alfie Moore,8450045,G,
Alfie Turcotte,8451981,S,
Aliaksei Protas,8481656,S,
Allan Bester,8445458,G,
Allan Egeland,8459206,S,
Allan Johnson,8447093,S,
Allan Murray,8447924,S,
Allan Rourke,8467469,S,
Allan Stanley,8449155,S,
Allan Stewart,8451719,S,
Allan Tuer,8451983,S,
Allen Pedersen,8450270,S,
Allen York,8474057,G,
Alvin Fisher,8446300,S,
Alyn McCauley,8462105,S,
Amby Moran,8447887,S,
Amos Arbour,8444956,S,
Anatoli Fedotov,8459359,S,
Anatoli Semenov,8451291,S,
Anders Bjork,8478075,S,
Anders Carlsson,8445937,S,
Anders Eldebrink,8446635,S,
Anders Eriksson,8459443,S,
Anders Hakansson,8446661,S,
Anders Hedberg,8447714,S,
Anders Kallur,8448403,S,
Anders Lee,8475314,S,
Anders Lindback,8474765,G,
Anders Myrvold,8459550,S,
Anders Nilsson,8475195,G,
Anders Steen,8451691,S,
Andre Benoit,8470378,S,
Andre Binette,8449824,G,
Andre Boudrias,8445137,S,
Andre Burakovsky,8477444,S,
Andre Champagne,8445359,S,
Andre Corriveau,8445636,S,
Andre Deveaux,8470301,S,
Andre Dore,8446443,S,
Andre Dupont,8446530,S,
Andre Faust,8456227,S,
Andre Gill,8449981,G,
Andre Hidi,8447805,S,
Andre Hinse,8446880,S,
Andre Lacroix,8448612,S,
Andre Lee,8481732,S,
Andre Peloffy,8450290,S,
Andre Petersson,8474670,S,
Andre Pronovost,8448213,S,
Andre Racicot,8450657,G,
Andre Roy,8460639,S,
Andre Savage,8467325,S,
Andre Savard,8451144,S,
Andre St. Laurent,8451741,S,
Andreas Athanasiou,8476960,S,
Andreas Borgman,8480158,S,
Andreas Dackell,8465090,S,
Andreas Englund,8477971,S,
Andreas Engqvist,8475372,S,
Andreas Johansson,8458650,S,
Andreas Johnsson,8477341,S,
Andreas Karlsson,8459571,S,
Andreas Lilja,8468534,S,
Andreas Martinsen,8478561,S,
Andreas Nodl,8473568,S,
Andreas Salomonsson,8469610,S,
Andreas Schliebener,8451190,S,
Andreas Thuresson,8474154,S,
Andrei Bashkirov,8466130,S,
Andrei Chibisov,8481642,S,
Andrei Kostitsyn,8470603,S,
Andrei Kovalenko,8456882,S,
Andrei Kuzmenko,8483808,S,
Andrei Loktionov,8474681,S,
Andrei Lomakin,8458652,S,
Andrei Markov,8467496,S,
Andrei Mironov,8478842,S,
Andrei Nazarov,8458947,S,
Andrei Nikolishin,8458983,S,
Andrei Podkonicky,8465178,S,
Andrei Skopintsev,8466282,S,
Andrei Svechnikov,8480830,S,
Andrei Trefilov,8458800,G,
Andrei Vasilevskiy,8476883,G,
Andrei Vasilyev,8459184,S,
Andrei Zyuzin,8465250,S,
Andrej Meszaros,8471236,S,
Andrej Nedorost,8468766,S,
Andrej Nestrasil,8475250,S,
Andrej Sekera,8471284,S,
Andrej Sustr,8477205,S,
Andrew Agozzino,8475461,S,
Andrew Alberts,8469626,S,
Andrew Bodnarchuk,8473550,S,
Andrew Brunette,8459596,S,
Andrew Campbell,8474638,S,
Andrew Cassels,8446003,S,
Andrew Cogliano,8471699,S,
Andrew Copp,8477429,S,
Andrew Crescenzi,8476020,S,
Andrew Desjardins,8471956,S,
Andrew Ebbett,8473682,S,
Andrew Ference,8466333,S,
Andrew Gordon,8471409,S,
Andrew Hammond,8477202,G,
Andrew Hutchinson,8467927,S,
Andrew Joudrey,8470838,S,
Andrew Ladd,8471217,S,
Andrew MacDonald,8473584,S,
Andrew MacWilliam,8474748,S,
Andrew Mangiapane,8478233,S,
Andrew McBain,8449326,S,
Andrew McKim,8457318,S,
Andrew Miller,8477249,S,
Andrew Murray,8469685,S,
Andrew Peeke,8479369,S,
Andrew Peters,8467355,S,
Andrew Poturalski,8479249,S,
Andrew Raycroft,8467453,G,
Andrew Rymsha,8457901,S,
Andrew Shaw,8476381,S,
Andrey Makarov,8477092,G,
Andrey Pedan,8476388,S,
Andrey Zubarev,8471848,S,
Andy Aitkenhead,8449787,G,
Andy Andreoff,8476404,S,
Andy Barbe,8445018,S,
Andy Bathgate,8445032,S,
Andy Bellemer,8445049,S,
Andy Berenzweig,8465061,S,
Andy Blair,8445093,S,
Andy Branigan,8445155,G/S,
Andy Brickley,8445683,S,
Andy Brown,8449844,G,
Andy Chiodo,8469613,G,
Andy Delmore,8462416,S,
Andy Greene,8472382,S,
Andy Hebenton,8446760,S,
Andy Hilbert,8468517,S,
Andy McDonald,8468434,S,
Andy Miele,8476206,S,
Andy Moog,8449681,G,
Andy Roach,8466995,S,
Andy Schneider,8459316,S,
Andy Spruce,8451623,S,
Andy Sutton,8467304,S,
Andy Welinski,8476407,S,
Andy Wozniewski,8471188,S,
Angelo Moretto,8449697,S,
Angus Crookshank,8481065,S,
Anson Carter,8459156,S,
Anssi Melametsa,8449540,S,
Anssi Salmela,8474557,S,
Antero Lehtonen,8448746,S,
Antero Niittymaki,8467511,G,
Anthony Angello,8478074,S,
Anthony Beauvillier,8478463,S,
Anthony Bitetto,8475868,S,
Anthony Cirelli,8478519,S,
Anthony Duclair,8477407,S,
Anthony Greco,8479447,S,
Anthony Joseph,8448381,S,
Anthony Mantha,8477511,S,
Anthony Peluso,8474061,S,
Anthony Richard,8478409,S,
Anthony Stewart,8470618,S,
Anthony Stolarz,8476932,G,
Antoine Bibeau,8477312,G,
Antoine Roussel,8474849,S,
Antoine Vermette,8468535,S,
Anton Babchuk,8470265,S,
Anton Belov,8477289,S,
Anton Blidh,8477320,S,
Anton Forsberg,8476341,G,
Anton Khudobin,8471418,G,
Anton Klementyev,8475270,S,
Anton Lander,8475165,S,
Anton Levtchi,8483641,S,
Anton Lindholm,8478073,S,
Anton Lundell,8482113,S,
Anton Rodin,8475210,S,
Anton Slepyshev,8477415,S,
Anton Stastny,8451688,S,
Anton Stralman,8471873,S,
Anton Volchenkov,8468501,S,
Anton Wedin,8481637,S,
Antti Aalto,8459557,S,
Antti Jussi Niemi,8465034,S,
Antti Laaksonen,8466316,S,
Antti Miettinen,8468704,S,
Antti Niemi,8474550,G,
Antti Pihlstrom,8473973,S,
Antti Raanta,8477293,G,
Antti Suomela,8480965,S,
Antti Tormanen,8460759,S,
Anze Kopitar,8471685,S,
Arber Xhekaj,8482964,S,
Arch Wilder,8449472,S,
Archie Briden,8445162,S,
Archie Fraser,8446467,S,
Archie Henderson,8447733,S,
Archie Wilcox,8449467,S,
Ari Haanpaa,8447438,S,
Aris Brimanis,8458600,S,
Armand Delmonte,8445863,S,
Armand Gaudreault,8446570,S,
Armand Mondou,8447884,S,
Armand Raymond,8448250,S,
Arnaud Durandeau,8480242,S,
Arnie Brown,8445181,S,
Arnie Kullman,8447248,S,
Arron Asham,8465025,S,
Arshdeep Bains,8483395,S,
Art Alexandre,8444870,S,
Art Brooks,8449841,G,
Art Chapman,8445362,S,
Art Chisholm,8445377,S,
Art Coulter,8445742,S,
Art Duncan,8445962,S,
Art Gagne,8446514,S,
Art Gauthier,8446572,S,
Art Giroux,8446590,S,
Art Herchenratter,8446786,S,
Art Jackson,8447023,S,
Art Lesieur,8447468,S,
Art Michaluk,8447851,S,
Art Ross,8448456,S,
Art Smith,8449060,S,
Art Somers,8449126,S,
Art Stratton,8449197,S,
Art Strobel,8449198,S,
Art Townsend,8449251,S,
Art Wiebe,8449464,S,
Artem Anisimov,8473573,S,
Artem Chubarov,8467359,S,
Artem Zub,8482245,S,
Artemi Kniazev,8481552,S,
Artemi Panarin,8478550,S,
Arthur Kaliyev,8481560,S,
Arto Blomsten,8455629,S,
Arto Javanainen,8448265,S,
Arttu Ruotsalainen,8481626,S,
Artturi Lehkonen,8477476,S,
Arturs Irbe,8456692,G,
Arturs Kulda,8473459,S,
Arturs Silovs,8481668,G,
Artyom Zagidulin,8481501,G,
Arvid Soderblom,8482821,G,
Ashton Sautner,8477085,S,
Aubrey Webster,8449374,S,
Aud Tuten,8449272,S,
Aurel Joliat,8447110,S,
Austin Czarnik,8478512,S,
Austin Poganski,8478040,S,
Austin Strand,8480467,S,
Austin Wagner,8478455,S,
Austin Watson,8475766,S,
Auston Matthews,8479318,S,
Aut Erickson,8446155,S,
Axel Jonsson-Fjallby,8479536,S,
B.J. Crombeen,8470647,S,
B.J. Young,8466286,S,
Babe Donnelly,8445923,S,
Babe Dye,8445972,S,
Babe Pratt,8448187,S,
Babe Siebert,8449038,S,
Baldy Cotton,8445648,S,
Baldy Northcott,8448034,S,
Barclay Goodrow,8476624,S,
Barclay Plager,8448155,S,
Barney Stanley,8449156,S,
Barret Jackman,8467890,S,
Barrett Hayton,8480849,S,
Barrett Heisten,8467893,S,
Barrie Meissner,8447834,S,
Barrie Moore,8459641,S,
Barry Ashbee,8444980,S,
Barry Beck,8445397,S,
Barry Boughner,8445139,S,
Barry Brust,8470264,G,
Barry Cullen,8445825,S,
Barry Cummins,8445828,S,
Barry Dean,8446349,S,
Barry Gibbs,8447154,S,
Barry Legge,8448745,S,
Barry Long,8448876,S,
Barry MacKenzie,8447549,S,
Barry Melrose,8449555,S,
Barry Nieckar,8458821,S,
Barry Pederson,8450271,S,
Barry Potomski,8459332,S,
Barry Richter,8457805,S,
Barry Salovaara,8448617,S,
Barry Smith,8451475,S,
Barry Sullivan,8449201,S,
Barry Tallackson,8470199,S,
Barry Wilcox,8449468,S,
Barry Wilkins,8449473,S,
Bart Bradley,8445153,S,
Bart Crashley,8445764,S,
Basil McRae,8449498,S,
Bates Battaglia,8460620,S,
Baz Bastien,8449805,G,
Beattie Ramsay,8448244,S,
Beau Bennett,8475761,S,
Beck Malenstyn,8479359,S,
Behn Wilson,8452492,S,
Ben Bishop,8471750,G,
Ben Chiarot,8475279,S,
Ben Clymer,8466162,S,
Ben Eager,8470280,S,
Ben Gleason,8479416,S,
Ben Guite,8466300,S,
Ben Hankinson,8456496,S,
Ben Hanowski,8475196,S,
Ben Harpur,8477433,S,
Ben Holmstrom,8475603,S,
Ben Hutton,8477018,S,
Ben Jones,8480259,S,
Ben Lovejoy,8473933,S,
Ben Maxwell,8473493,S,
Ben McCartney,8481827,S,
Ben Meyers,8483570,S,
Ben Ondrus,8468868,S,
Ben Scrivens,8475681,G,
Ben Sexton,8475328,S,
Ben Smith,8474727,S,
Ben Street,8476043,S,
Ben Thomas,8478049,S,
Ben Thomson,8476526,S,
Ben Walter,8471372,S,
Bengt Lundholm,8448860,S,
Bengt-Ake Gustafsson,8447429,S,
Benjamin LaPrairie,8447327,S,
Benjamin Simon,8466240,S,
Benn Ferriero,8473600,S,
Bennett Wolf,8452521,S,
Benny Grant,8449983,G,
Benny Woit,8449598,S,
Benoit Brunet,8445734,S,
Benoit Dusablon,8468916,S,
Benoit Gosselin,8447301,S,
Benoit Gratton,8462135,S,
Benoit Hogue,8445423,S,
Benoit Pouliot,8471678,S,
Bep Guidolin,8446656,S,
Bernie Brophy,8445178,S,
Bernie Federko,8446803,S,
Bernie Geoffrion,8446579,S,
Bernie Johnston,8448327,S,
Bernie Lukowich,8447525,S,
Bernie MacNeil,8447581,S,
Bernie Morris,8447890,S,
Bernie Nicholls,8449881,S,
Bernie Parent,8450178,G,
Bernie Ruelle,8448589,S,
Bernie Saunders,8451134,S,
Bernie Wolfe,8452519,G,
Bert Burry,8445293,S,
Bert Connelly,8445523,S,
Bert Corbeau,8445571,S,
Bert Gardiner,8449960,G,
Bert Hirschfeld,8446885,S,
Bert Lindsay,8450014,G,
Bert Marshall,8449206,S,
Bert McCaffrey,8447655,S,
Bert McInenly,8447780,S,
Bert Olmstead,8448057,S,
Bert Peer,8448122,S,
Bert Robertsson,8459674,S,
Bert Wilson,8452466,S,
Bill Allum,8444875,S,
Bill Anderson,8444877,S,
Bill Armstrong,8445065,S,
Bill Arnold,8475833,S,
Bill Baker,8445212,S,
Bill Barber,8445252,S,
Bill Barilko,8445019,S,
Bill Bennett,8445414,S,
Bill Benson,8445060,S,
Bill Berg,8445424,S,
Bill Beveridge,8449821,G,
Bill Brydge,8445203,S,
Bill Burega,8445259,S,
Bill Butters,8445810,S,
Bill Carse,8445343,S,
Bill Carson,8445345,S,
Bill Clement,8446100,S,
Bill Collins,8445505,S,
Bill Cook,8445529,S,
Bill Cowley,8445754,S,
Bill Cupolo,8445831,S,
Bill Derlago,8446363,S,
Bill Dickie,8449869,G,
Bill Dineen,8445909,S,
Bill Durnan,8449910,G,
Bill Ezinicki,8446184,S,
Bill Fairbairn,8446187,S,
Bill Flett,8446866,S,
Bill Folk,8446339,S,
Bill Gadsby,8446513,S,
Bill Gardner,8447039,S,
Bill Goldsworthy,8446605,S,
Bill Guerin,8456464,S,
Bill Hajt,8447445,S,
Bill Hay,8446749,S,
Bill Heindl,8446763,S,
Bill Hicke,8446856,S,
Bill Hogaboam,8447929,S,
Bill Holmes,8446897,S,
Bill Houlder,8447979,S,
Bill Huard,8456647,S,
Bill Hutton,8447012,S,
Bill Jennings,8447053,S,
Bill Johansen,8447103,S,
Bill Juzda,8447126,S,
Bill Kendall,8447163,S,
Bill Kitchen,8448494,S,
Bill Knibbs,8447225,S,
Bill Kyle,8447255,S,
Bill Lecaine,8447359,S,
Bill Lesuk,8448804,S,
Bill Lindsay,8458617,S,
Bill Lochead,8448866,S,
Bill MacKenzie,8447560,S,
Bill Masterton,8447635,S,
Bill McCreary Sr.,8447717,S,
Bill McDonagh,8447743,S,
Bill McKenzie,8449491,G,
Bill Meronek,8447847,S,
Bill Mikkelson,8447857,S,
Bill Miller,8447864,S,
Bill Mitchell,8447875,S,
Bill Moe,8447878,S,
Bill Mosienko,8447902,S,
Bill Muckalt,8460707,S,
Bill Nyrop,8449933,S,
Bill Oleschuk,8449978,G,
Bill Orban,8448063,S,
Bill Phillips,8448140,S,
Bill Plager,8448157,S,
Bill Quackenbush,8448235,S,
Bill Ranford,8450651,G,
Bill Regan,8448298,S,
Bill Riley,8450843,S,
Bill Root,8451010,S,
Bill Shill,8449021,S,
Bill Speer,8449131,S,
Bill Stewart,8451732,S,
Bill Summerhill,8449204,S,
Bill Sutherland,8449207,S,
Bill Sweatt,8474035,S,
Bill Sweeney,8449211,S,
Bill Thomas,8472361,S,
Bill Thoms,8449233,S,
Bill Thomson,8449234,S,
Bill Touhey,8449246,S,
Bill Watson,8452341,S,
Bill White,8449389,S,
Bill Wylie,8449642,S,
Billy Bell,8445044,S,
Billy Boucher,8445133,S,
Billy Boyd,8445148,S,
Billy Burch,8445255,S,
Billy Cameron,8445312,S,
Billy Carroll,8445983,S,
Billy Carter,8445348,S,
Billy Coutu,8445744,S,
Billy Dea,8445855,S,
Billy Gooden,8446611,S,
Billy Harris,8446707,S,1935-07-29
Billy Harris,8447658,S,1952-01-29
Billy Inglis,8448162,S,
Billy MacMillan,8447577,S,
Billy McNeill,8447817,S,
Billy O'Dwyer,8449950,S,
Billy Reay,8448262,S,
Billy Smith,8451525,G,
Billy Stuart,8449199,S,
Billy Sweezey,8482399,S,
Billy Taylor Jr.,8449217,S,
Billy Taylor Sr.,8449216,S,
Billy Tibbetts,8468438,S,
Billy Warwick,8449360,S,
Bing Juckes,8447124,S,
Bingo Kampman,8447133,S,
Bjorn Johansson,8447060,S,
Bjorn Melin,8468036,S,
Bjorn Skaare,8451387,S,
Blaine Lacher,8460318,G,
Blaine Stoughton,8451770,S,
Blair Atcheynum,8455479,S,
Blair Barnes,8445269,S,
Blair Betts,8467361,S,
Blair Chapman,8446035,S,
Blair Jones,8471767,S,
Blair MacDonald,8448917,S,
Blair MacKasey,8447542,S,
Blair Stewart,8451731,S,
Blake Bellefeuille,8468468,S,
Blake Coleman,8476399,S,
Blake Comeau,8471260,S,
Blake Dunlop,8446522,S,
Blake Geoffrion,8473608,S,
Blake Hillman,8479595,S,
Blake Lizotte,8481481,S,
Blake Pietila,8476370,S,
Blake Sloan,8466971,S,
